name,type,start_time,duration,mosi,miso,data
SPI,result,0.002661375,0.000001625,3,ÿ,
Async Serial,data,0.002662063,0.00001025,,,4
SPI,result,0.002672125,0.000001688,4,ÿ,
Async Serial,data,0.002672875,0.00001025,,,5
SPI,result,0.002683063,0.000001625,5,ÿ,
Async Serial,data,0.002683687,0.00001025,,,6
SPI,result,0.002693812,0.000001688,6,ÿ,
Async Serial,data,0.0026945,0.00001025,,,7
SPI,result,0.002704625,0.000001688,7,ÿ,
Async Serial,data,0.002705313,0.00001025,,,8
SPI,result,0.002715437,0.000001625,8,ÿ,
Async Serial,data,0.002716125,0.00001025,,,9
SPI,result,0.002726187,0.000001688,9,ÿ,
Async Serial,data,0.002726937,0.00001025,,,1
SPI,result,0.002737,0.000001688,1,ÿ,
Async Serial,data,0.00273775,0.00001025,,,0
SPI,result,0.002747937,0.000001625,0,ÿ,
Async Serial,data,0.002748563,0.00001025,,,1
SPI,result,0.002758687,0.000001688,1,ÿ,
Async Serial,data,0.002759375,0.00001025,,,2
SPI,result,0.0027695,0.000001688,2,ÿ,
Async Serial,data,0.002770187,0.00001025,,,3
SPI,result,0.002780312,0.000001625,3,ÿ,
Async Serial,data,0.002781,0.00001025,,,4
SPI,result,0.002791063,0.000001688,4,ÿ,
Async Serial,data,0.002791813,0.00001025,,,5
SPI,result,0.002801875,0.000001687,5,ÿ,
Async Serial,data,0.002802625,0.00001025,,,6
SPI,result,0.00281275,0.000001688,6,ÿ,
Async Serial,data,0.002813437,0.00001025,,,7
SPI,disable,0.0028145,0.000000063,,,
Async Serial [1],data,0.002823562,0.00001025,,,7
